UBIGEO_DEPT,SHP_DEPT,UBIGEO_PROV,SHP_PROV,UBIGEO_DIST,SHP_DIST,EXL_DEPT,EXL_PROV,EXL_DIST,DEPT_ASCII,PROV_ASCII,DIST_ASCII
1,AMAZONAS,102,BAGUA,10202,ARAMANGO,AMAZONAS,BAGUA,ARAMANGO,AMAZONAS,BAGUA,ARAMANGO
1,AMAZONAS,102,BAGUA,10201,BAGUA,AMAZONAS,BAGUA,BAGUA,AMAZONAS,BAGUA,BAGUA
1,AMAZONAS,102,BAGUA,10203,COPALLIN,AMAZONAS,BAGUA,COPALLIN,AMAZONAS,BAGUA,COPALLIN
1,AMAZONAS,102,BAGUA,10204,EL PARCO,AMAZONAS,BAGUA,EL PARCO,AMAZONAS,BAGUA,EL PARCO
1,AMAZONAS,102,BAGUA,10205,IMAZA,AMAZONAS,BAGUA,IMAZA,AMAZONAS,BAGUA,IMAZA
1,AMAZONAS,102,BAGUA,10206,LA PECA,AMAZONAS,BAGUA,LA PECA,AMAZONAS,BAGUA,LA PECA
1,AMAZONAS,103,BONGARA,10302,CHISQUILLA,AMAZONAS,BONGARÁ,CHISQUILLA,AMAZONAS,BONGARA,CHISQUILLA
1,AMAZONAS,103,BONGARA,10303,CHURUJA,AMAZONAS,BONGARÁ,CHURUJA,AMAZONAS,BONGARA,CHURUJA
1,AMAZONAS,103,BONGARA,10304,COROSHA,AMAZONAS,BONGARÁ,COROSHA,AMAZONAS,BONGARA,COROSHA
1,AMAZONAS,103,BONGARA,10305,CUISPES,AMAZONAS,BONGARÁ,CUISPES,AMAZONAS,BONGARA,CUISPES
1,AMAZONAS,103,BONGARA,10306,FLORIDA,AMAZONAS,BONGARÁ,FLORIDA,AMAZONAS,BONGARA,FLORIDA
1,AMAZONAS,103,BONGARA,10307,JAZAN,AMAZONAS,BONGARÁ,JAZAN,AMAZONAS,BONGARA,JAZAN
1,AMAZONAS,103,BONGARA,10301,JUMBILLA,AMAZONAS,BONGARÁ,JUMBILLA,AMAZONAS,BONGARA,JUMBILLA
1,AMAZONAS,103,BONGARA,10308,RECTA,AMAZONAS,BONGARÁ,RECTA,AMAZONAS,BONGARA,RECTA
1,AMAZONAS,103,BONGARA,10309,SAN CARLOS,AMAZONAS,BONGARÁ,SAN CARLOS,AMAZONAS,BONGARA,SAN CARLOS
