DEPARTMENT,PROVINCE,DISTRICT_WRONG,DISTRICT_CORRECT
ANCASH,HUARAZ,PAMPAS,PAMPAS GRANDE
APURIMAC,CHINCHEROS,ANCO-HUALLO,ANCO_HUALLO
AYACUCHO,LA MAR,ORONCOY,ORONCCOY
AYACUCHO,VICTOR FAJARDO,HUAYA,HUALLA
CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLEDO,SANTA CRUZ DE TOLED
HUANUCO,HUANUCO,QUISQUI,QUISQUI (KICHKI)
LIMA,HUAROCHIRI,LARAOS,SAN PEDRO DE LARAOS
LIMA,YAUYOS,AYAUCA,ALLAUCA
PASCO,PASCO,SAN FCO.DE ASIS DE YARUSYAC,SAN FRANCISCO DE ASIS DE YARUSYACAN
PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCU,SAN PEDRO DE PUTINA PUNCO
